name,difficulty,likes,disslikes,isSolved
serialize-and-deserialize-n-ary-tree,Hard,957,54,0
flatten-a-multilevel-doubly-linked-list,Medium,4327,286,0
encode-n-ary-tree-to-binary-tree,Hard,464,24,0
all-oone-data-structure,Hard,1303,150,0
minimum-genetic-mutation,Medium,2318,247,0
number-of-segments-in-a-string,Easy,570,1089,0
non-overlapping-intervals,Medium,5189,146,0
find-right-interval,Medium,1509,281,0
path-sum-iii,Medium,9007,433,0
find-all-anagrams-in-a-string,Medium,9273,287,0
ternary-expression-parser,Medium,360,45,0
k-th-smallest-in-lexicographical-order,Hard,646,76,0
arranging-coins,Easy,2887,1147,0
find-all-duplicates-in-an-array,Medium,7748,296,0
string-compression,Medium,2669,4740,0
sequence-reconstruction,Medium,504,1446,0
add-two-numbers-ii,Medium,4155,243,0
arithmetic-slices-ii-subsequence,Hard,2177,113,0
number-of-boomerangs,Medium,687,928,0
serialize-and-deserialize-bst,Medium,3066,148,0
delete-node-in-a-bst,Medium,6695,172,0
sort-characters-by-frequency,Medium,6111,222,0
minimum-number-of-arrows-to-burst-balloons,Medium,3938,113,0
minimum-moves-to-equal-array-elements,Medium,2012,1787,0
4sum-ii,Medium,4262,123,0
132-pattern,Medium,5257,300,0
circular-array-loop,Medium,479,454,0
poor-pigs,Hard,1339,2748,0
lfu-cache,Hard,3918,239,0
minimum-moves-to-equal-array-elements-ii,Medium,2860,109,0
can-i-win,Medium,2156,335,0
optimal-account-balancing,Hard,1254,119,0
count-the-repetitions,Hard,349,292,0
unique-substrings-in-wraparound-string,Medium,1225,153,0
validate-ip-address,Medium,794,2536,0
convex-polygon,Medium,90,226,0
implement-rand10-using-rand7,Medium,959,322,0
encode-string-with-shortest-length,Hard,596,46,0
concatenated-words,Hard,2367,237,0
matchsticks-to-square,Medium,3325,262,0
ones-and-zeroes,Medium,4556,414,0
heaters,Medium,1619,1082,0
total-hamming-distance,Medium,1873,85,0
generate-random-point-in-a-circle,Medium,390,710,0
largest-palindrome-product,Hard,145,1495,0
sliding-window-median,Hard,2630,151,0
magical-string,Medium,225,1053,0
license-key-formatting,Easy,892,1206,0
smallest-good-base,Hard,318,454,0
find-permutation,Medium,634,119,0
predict-the-winner,Medium,3554,173,0
max-consecutive-ones-ii,Medium,1313,23,0
zuma-game,Hard,379,444,0
robot-room-cleaner,Hard,2529,157,0
the-maze,Medium,1564,162,0
increasing-subsequences,Medium,1782,161,0
construct-the-rectangle,Easy,507,344,0
reverse-pairs,Hard,4262,214,0
target-sum,Medium,8484,303,0
random-point-in-non-overlapping-rectangles,Medium,413,628,0
diagonal-traverse,Medium,2720,591,0
the-maze-iii,Hard,405,65,0
ipo,Hard,986,88,0
next-greater-element-ii,Medium,5963,165,0
the-maze-ii,Medium,1166,51,0
most-frequent-subtree-sum,Medium,1832,268,0
inorder-successor-in-bst-ii,Medium,805,38,0
game-play-analysis-i,Easy,468,19,0
game-play-analysis-ii,Easy,214,36,0
find-bottom-left-tree-value,Medium,2656,237,0
freedom-trail,Hard,783,35,0
find-largest-value-in-each-tree-row,Medium,2460,92,0
longest-palindromic-subsequence,Medium,6620,271,0
super-washing-machines,Hard,621,198,0
coin-change-ii,Medium,6555,120,0
random-flip-matrix,Medium,343,95,0
longest-uncommon-subsequence-i,Easy,664,5939,0
longest-uncommon-subsequence-ii,Medium,422,1160,0
continuous-subarray-sum,Medium,4274,415,0
longest-word-in-dictionary-through-deleting,Medium,1526,342,0
contiguous-array,Medium,6017,242,0
beautiful-arrangement,Medium,2636,324,0
word-abbreviation,Hard,369,273,0
random-pick-with-weight,Medium,1216,529,0
minesweeper,Medium,1644,943,0
lonely-pixel-i,Medium,384,40,0
k-diff-pairs-in-an-array,Medium,3056,2147,0
lonely-pixel-ii,Medium,78,724,0
game-play-analysis-iii,Medium,326,15,0
encode-and-decode-tinyurl,Medium,1735,3334,0
construct-binary-tree-from-string,Medium,971,150,0
complex-number-multiplication,Medium,584,1186,0
convert-bst-to-greater-tree,Medium,4624,165,0
minimum-time-difference,Medium,1372,234,0
single-element-in-a-sorted-array,Medium,6673,116,0
01-matrix,Medium,6180,301,0
output-contest-matches,Medium,369,119,0
boundary-of-binary-tree,Medium,1222,1958,0
remove-boxes,Hard,1815,102,0
number-of-provinces,Medium,6679,277,0
split-array-with-equal-sum,Hard,394,128,0
binary-tree-longest-consecutive-sequence-ii,Medium,1061,85,0
game-play-analysis-iv,Medium,279,74,0
student-attendance-record-ii,Hard,1476,241,0
optimal-division,Medium,308,1470,0
brick-wall,Medium,2028,112,0
split-concatenated-strings,Medium,70,243,0
next-greater-element-iii,Medium,2887,392,0
